neighborhood,average_property_price
Markland Wood,"
            $931,513
        "
Milliken,"
            $762,367
        "
Mimico,"
            $1,141,058
        "
Morningside,"
            $627,352
        "
Moss Park,"
            $1,198,697
        "
Mount Dennis,"
            $646,482
        "
Mount Olive-Silverstone-Jamestown,"
            $602,787
        "
Mount Pleasant East,"
            $1,502,161
        "
Mount Pleasant West,"
            $1,519,569
        "
New Toronto,"
            $833,233
        "
Newtonbrook East,"
            $1,288,542
        "
Newtonbrook West,"
            $1,061,739
        "
Niagara,"
            $1,234,398
        "
North Riverdale,"
            $1,338,722
        "
North St. James Town,"
            $1,309,073
        "
O'Connor-Parkview,"
            $805,164
        "
Oakridge,"
            $834,003
        "
Oakwood-Vaughan,"
            $951,174
        "
O'Connor-Parkview,"
            $962,587
        "
Palmerston-Little Italy,"
            $1,578,279
        "
Parkwoods-Donalda,"
            $910,307
        "
Playter Estates-Danforth,"
            $1,522,392
        "
Pleasant View,"
            $885,009
        "
Princess-Rosethorn,"
            $1,212,606
        "
Regent Park,"
            $1,233,542
        "
Rexdale-Kipling,"
            $611,546
        "
Rockcliffe-Smythe,"
            $710,530
        "
Roncesvalles,"
            $1,356,616
        "
Rosedale-Moore Park,"
            $2,094,442
        "
Rouge E10,"
            $857,946
        "
Rouge E11,"
            $672,227
        "
Runnymede-Bloor West Village,"
            $1,144,098
        "
Rustic,"
            $749,648
        "
Scarborough Village,"
            $724,328
        "
South Parkdale,"
            $1,124,507
        "
South Riverdale,"
            $1,137,766
        "
St. Andrew-Windfields,"
            $1,680,753
        "
Steeles,"
            $796,993
        "
Stonegate-Queensway,"
            $1,104,985
        "
Tam O'Shanter-Sullivan,"
            $761,306
        "
Tam O'Shanter-Sullivan,"
            $962,587
        "
Tam O'Shanter-Sullivan,"
            $962,587
        "
The Islands,"
            $962,587
        "
Thistletown-Beaumonde Heights,"
            $767,239
        "
Thorncliffe Park,"
            $652,615
        "
Trinity-Bellwoods,"
            $1,396,227
        "
University,"
            $1,461,305
        "
Victoria Village,"
            $789,788
        "
Waterfront Communities C1,"
            $1,530,801
        "
Waterfront Communities C8,"
            $1,316,309
        "
West Hill,"
            $610,779
        "
West Humber-Clairville,"
            $667,923
        "
Westminster-Branson,"
            $896,002
        "
Weston,"
            $667,041
        "
Weston-Pellam Park,"
            $750,953
        "
Wexford-Maryvale,"
            $903,253
        "
Willowdale East,"
            $1,514,009
        "
Willowdale West,"
            $1,326,697
        "
Willowridge-Martingrove-Richview,"
            $793,555
        "
Woburn,"
            $659,003
        "
Woodbine Corridor,"
            $954,083
        "
Woodbine-Lumsden,"
            $857,842
        "
Wychwood,"
            $1,173,564
        "
Yonge-Eglinton,"
            $1,477,426
        "
Yonge-St. Clair,"
            $2,052,427
        "
York University Heights,"
            $724,658
        "
Yorkdale-Glen Park,"
            $844,972
        "
